65300021,2 Downtown LA - Pacific Palisades Via Sunset Bl,UCLA Ackerman Loop (7am-10pm),34.0691399,-118.44473
1451,2 Downtown LA - Pacific Palisades Via Sunset Bl,Montana / Glendale Layover,34.0801199,-118.26091
1799,2 Downtown LA - Pacific Palisades Via Sunset Bl,Temescal Canyon / Sunset,34.04955,-118.5295099
2937,2 Downtown LA - Pacific Palisades Via Sunset Bl,Le Conte / Hilgard,34.0641399,-118.4414199
3430,2 Downtown LA - Pacific Palisades Via Sunset Bl,Broadway / Temple,34.0557999,-118.24331
4226,2 Downtown LA - Pacific Palisades Via Sunset Bl,Pacific Coast / Bel Air Bay Club,34.0397899,-118.5463899
4756,2 Downtown LA - Pacific Palisades Via Sunset Bl,Broadway / Venice,34.0339699,-118.26354
4767,2 Downtown LA - Pacific Palisades Via Sunset Bl,Broadway / 1st,34.0539699,-118.245
4805,2 Downtown LA - Pacific Palisades Via Sunset Bl,Broadway / 8th,34.0435499,-118.25474
4818,2 Downtown LA - Pacific Palisades Via Sunset Bl,Broadway / Olympic,34.04149,-118.2566499
4819,2 Downtown LA - Pacific Palisades Via Sunset Bl,Broadway / Pico,34.03691,-118.2611499
5886,2 Downtown LA - Pacific Palisades Via Sunset Bl,San Vicente / Cynthia,34.0869599,-118.3855099
6400,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Bel Air,34.08124,-118.4352999
6405,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Delfern,34.08008,-118.4282499
6420,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Foothill,34.0865099,-118.40611
,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Pacific Coast L.O.,34.0397099,-118.55429
8004,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Church,34.0721699,-118.46808
8008,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Doheny,34.0904199,-118.39267
8591,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Silver Lake,34.0831499,-118.2732799
8635,2 Downtown LA - Pacific Palisades Via Sunset Bl,Broadway / 5th,34.0478199,-118.2508
9221,2 Downtown LA - Pacific Palisades Via Sunset Bl,Cesar E Chavez / Broadway,34.0588099,-118.2403999
9268,2 Downtown LA - Pacific Palisades Via Sunset Bl,Church / Sepulveda,34.07513,-118.4689299
,2 Downtown LA - Pacific Palisades Via Sunset Bl,Church / 405 Fwy Off-Ramp,34.0733399,-118.46854
10726,2 Downtown LA - Pacific Palisades Via Sunset Bl,Gayley / Landfair,34.0654899,-118.44766
10727,2 Downtown LA - Pacific Palisades Via Sunset Bl,Gayley / Landfair,34.0706799,-118.45316
10728,2 Downtown LA - Pacific Palisades Via Sunset Bl,Gayley / Strathmore,34.06882,-118.44904
10729,2 Downtown LA - Pacific Palisades Via Sunset Bl,Gayley / Veteran,34.0704799,-118.45481
